,brain_region_1,value,SPI,brain_region_2
91,proc-9,0.1464003899496495,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
92,proc-10,0.12836314341791327,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
93,proc-11,0.21672707159119634,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
94,proc-12,0.10260224612427135,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
95,proc-13,0.17716152551351266,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
96,proc-14,0.11896210540512295,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
97,proc-15,0.13433607959159452,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
98,proc-16,0.1418003427562454,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
99,proc-17,0.22772039934328384,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
100,proc-18,0.06193398042056887,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
101,proc-19,0.17789474794476798,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
102,proc-20,0.13107270680707922,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
103,proc-21,0.22095307371456654,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
104,proc-22,0.07554249754359911,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
105,proc-23,0.17710984142826186,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
106,proc-24,0.16646923842414119,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
107,proc-25,0.14390645251859474,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
108,proc-26,0.23954180379362336,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
109,proc-27,0.09062082080292758,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
110,proc-28,0.1382927807856149,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
111,proc-29,0.0860623310982403,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
112,proc-30,0.1262913323318079,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
113,proc-31,0.09152785528627592,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
114,proc-32,0.14956161535526197,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
115,proc-33,0.1021465606543847,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
116,proc-34,0.08582053858398794,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
117,proc-35,0.1563573002256077,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
118,proc-36,0.08683872014367751,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
119,proc-37,0.08556177720076716,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
120,proc-38,0.1391443751145063,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
121,proc-39,0.12057489976973709,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
122,proc-40,0.1547438388696481,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
123,proc-41,0.07406104440132308,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
124,proc-42,0.1623823839575587,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
125,proc-43,0.13252728224186935,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
126,proc-44,0.21824528009284222,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
127,proc-45,0.10044479847970778,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
128,proc-46,0.1759483068346786,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
129,proc-47,0.07218818817883728,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
130,proc-48,0.14396663520620653,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
131,proc-49,0.147550470848204,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
132,proc-50,0.23961641883351562,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
133,proc-51,0.08813363224471901,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
134,proc-52,0.21425098797966696,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
135,proc-53,0.07809454902260608,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
