"Site_Number","Analysis","Model","Balanced Accuracy","SD"
5,"catch25_feature","SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1",51.3,18.8
5,"catch25_feature","SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1",43.6,17.5
5,"catch25_feature","SP_Summaries_welch_rect_area_5_1",46.2,17.1
5,"catch25_feature","SP_Summaries_welch_rect_centroid",54.2,18.3
5,"catch25_feature","fALFF",49.5,16.9
20,"catch25_feature","CO_Embed2_Dist_tau_d_expfit_meandiff",61.8,13.5
20,"catch25_feature","CO_FirstMin_ac",56.5,12.8
20,"catch25_feature","CO_HistogramAMI_even_2_5",49.7,16
20,"catch25_feature","CO_f1ecac",54.9,14
20,"catch25_feature","CO_trev_1_num",46,13.2
20,"catch25_feature","DN_HistogramMode_10",47.1,14.5
20,"catch25_feature","DN_HistogramMode_5",48.5,13.1
20,"catch25_feature","DN_Mean",49.8,13.8
20,"catch25_feature","DN_OutlierInclude_n_001_mdrmd",39.9,12.6
20,"catch25_feature","DN_OutlierInclude_p_001_mdrmd",65,16.2
20,"catch25_feature","DN_Spread_Std",43.2,15
20,"catch25_feature","FC_LocalSimple_mean1_tauresrat",61.5,14.1
20,"catch25_feature","FC_LocalSimple_mean3_stderr",55.6,14.4
20,"catch25_feature","IN_AutoMutualInfoStats_40_gaussian_fmmi",49.3,13.6
20,"catch25_feature","MD_hrv_classic_pnn40",50.5,13.9
20,"catch25_feature","PD_PeriodicityWang_th0_01",41,13.1
20,"catch25_feature","SB_BinaryStats_diff_longstretch0",50.5,15.1
20,"catch25_feature","SB_BinaryStats_mean_longstretch1",46.4,14.9
20,"catch25_feature","SB_MotifThree_quantile_hh",50.6,13
20,"catch25_feature","SB_TransitionMatrix_3ac_sumdiagcov",43.4,13.3
20,"catch25_feature","SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1",46.3,15.4
20,"catch25_feature","SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1",43.1,14.7
20,"catch25_feature","SP_Summaries_welch_rect_area_5_1",46.6,15.1
20,"catch25_feature","SP_Summaries_welch_rect_centroid",53.7,14
20,"catch25_feature","fALFF",45,15.4
5,"pyspi14_SPI","anm",49,10.2
5,"pyspi14_SPI","bary_dtw_mean",45.6,11.6
5,"pyspi14_SPI","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",54.2,14.3
5,"pyspi14_SPI","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",48.1,17.7
5,"pyspi14_SPI","cov_EmpiricalCovariance",45.2,13.6
5,"pyspi14_SPI","di_gaussian",51.9,17.1
5,"pyspi14_SPI","dtw_constraint-itakura",50.1,15.7
5,"pyspi14_SPI","pec",48.4,12.9
5,"pyspi14_SPI","phi_star_t-1_norm-0",49.5,12.7
5,"pyspi14_SPI","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5",50.2,12.8
5,"pyspi14_SPI","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean",50,19
5,"pyspi14_SPI","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5",48.3,10.6
5,"pyspi14_SPI","te_kraskov_NN-4_DCE_k-max-10_tau-max-4",52.1,10.1
20,"pyspi14_SPI","anm",50.4,14.8
20,"pyspi14_SPI","bary_dtw_mean",46.2,14.3
20,"pyspi14_SPI","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",60.7,15.6
20,"pyspi14_SPI","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",54.7,15.1
20,"pyspi14_SPI","cov_EmpiricalCovariance",40.7,13.6
20,"pyspi14_SPI","di_gaussian",56.7,13.9
20,"pyspi14_SPI","dtw_constraint-itakura",59.8,13.8
20,"pyspi14_SPI","pec",51.6,14.8
20,"pyspi14_SPI","phi_star_t-1_norm-0",52.1,14.6
20,"pyspi14_SPI","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5",44.2,14.9
20,"pyspi14_SPI","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean",51.8,14.8
20,"pyspi14_SPI","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5",44.8,14.5
20,"pyspi14_SPI","te_kraskov_NN-4_DCE_k-max-10_tau-max-4",51.8,14.2
